productid,productname,price_rokomari,rating_rokomari,reviews_rokomari,price_wafilife,rating_wafilife,reviews_wafilife,price_mamunbookhouse,rating_mamunbookhouse,reviews_mamunbookhouse,price_boibazar,rating_boibazar,reviews_boibazar
101,The Alchemist,380,4.5,120,370,4.4,110,360,4.3,100,350,4.2,90.0
102,1984,450,4.6,95,440,4.5,90,430,4.4,85,420,4.3,80.0
103,To Kill a Mockingbird,500,4.7,150,490,4.6,145,480,4.5,140,470,4.4,135.0
104,Sapiens,600,4.8,200,590,4.7,195,580,4.6,190,570,4.5,185.0
105,Becoming,700,4.9,180,690,4.8,175,680,4.7,170,670,4.6,165.0
106,Think and Grow Rich,350,4.2,75,340,4.1,70,330,4.0,65,320,3.9,60.0
107,The Great Gatsby,300,4.3,110,290,4.2,105,280,4.1,100,270,4.0,95.0
108,Rich Dad Poor Dad,480,4.4,160,470,4.3,155,460,4.2,150,450,4.1,145.0
109,The Power of Habit,550,4.7,140,540,4.6,135,530,4.5,130,520,4.4,125.0
110,Atomic Habits,650,4.8,130,640,4.7,125,630,4.6,120,620,4.5,115.0
